cislo_obce;nazev_obce;volici;vydane_obalky;platne_hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
529672;Bezděkov pod Třemšínem;134;105;103;32;0;0;0;1;11;3;1;12;0;0;0;0;0;1;13;0;1;2;5;0;0;11;10;0;0
564559;Bohostice;167;108;108;37;0;0;0;1;22;4;0;12;0;0;0;0;0;0;5;0;0;1;5;5;0;7;9;0;0
539953;Bohutín;1417;925;920;348;2;2;1;0;75;30;1;93;7;6;0;1;2;2;45;1;13;12;88;50;1;88;50;1;1
539970;Borotice;302;202;202;65;0;0;0;1;13;15;0;18;4;0;0;0;0;0;13;1;0;3;16;9;0;23;20;0;1
539988;Bratkovice;252;167;166;40;0;0;0;0;15;9;0;29;7;0;0;0;0;0;11;0;1;1;22;9;0;11;11;0;0
540013;Březnice;2841;1612;1605;504;3;0;1;7;148;58;1;142;13;9;5;1;3;4;111;10;17;15;174;67;1;153;157;0;1
540021;Buková u Příbramě;283;206;206;66;0;0;0;0;17;5;0;22;1;3;0;0;1;0;15;0;3;4;10;14;0;24;21;0;0
564664;Bukovany;69;54;54;23;0;0;0;1;5;1;0;2;0;0;0;0;0;0;1;0;1;1;8;3;1;4;3;0;0
564419;Cetyně;134;99;99;46;0;0;0;1;9;5;0;7;0;0;0;0;0;0;6;0;1;1;5;1;0;10;7;0;0
540072;Čenkov;326;206;204;68;0;0;0;0;30;4;0;15;0;1;0;0;1;1;11;0;3;6;20;14;1;15;14;0;0
540081;Čím;245;162;161;58;3;0;0;0;4;1;0;10;0;2;0;0;1;0;21;1;1;1;10;8;0;31;9;0;0
540099;Daleké Dušníky;344;231;230;54;0;0;0;1;21;5;1;30;3;3;0;0;0;1;19;0;1;7;15;6;0;43;20;0;0
513504;Dlouhá Lhota;308;205;205;63;0;0;0;1;6;13;0;30;2;4;1;0;0;1;9;0;5;0;19;8;0;24;18;0;1
540111;Dobříš;6994;4559;4518;1188;6;1;4;8;280;182;4;663;27;31;3;3;10;10;232;10;83;83;363;305;0;687;325;1;9
540129;Dolní Hbity;739;551;549;206;0;0;0;0;51;16;0;54;1;6;0;0;1;0;44;2;11;8;31;14;0;41;62;0;1
599298;Drahenice;132;88;88;17;0;0;0;1;18;0;0;3;0;2;1;0;0;1;6;0;0;2;8;3;0;15;11;0;0
540145;Drahlín;445;315;314;132;0;0;0;0;25;9;0;25;0;7;1;0;1;0;10;0;4;2;29;12;2;29;26;0;0
540153;Drásov;345;257;256;97;1;0;0;0;20;7;0;36;0;2;0;0;0;0;9;0;3;2;18;11;0;24;26;0;0
540170;Drevníky;266;161;160;39;0;0;0;1;8;9;0;21;1;0;0;0;0;0;12;0;2;2;14;12;0;21;18;0;0
540188;Drhovy;212;136;136;45;0;0;1;1;5;1;0;20;0;0;1;0;1;0;10;1;1;2;15;7;0;18;6;0;1
598381;Dubenec;744;366;364;128;1;1;1;4;25;6;0;23;2;10;0;0;2;0;11;6;7;8;30;17;0;56;24;0;2
