cislo_obce;nazev_obce;volici;vydane_obalky;platne_hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
538043;Babice;732;533;531;128;0;1;0;0;6;24;0;79;12;1;0;2;0;0;56;1;20;5;51;48;0;80;17;0;0
538051;Bašť;1409;966;961;239;0;0;1;2;40;16;1;212;5;4;3;2;0;2;61;1;22;17;66;84;0;139;39;1;4
534684;Borek;242;170;170;64;0;0;1;0;5;0;1;27;2;0;0;0;0;0;15;0;2;1;1;15;0;24;11;0;1
538086;Bořanovice;627;440;440;103;0;0;1;1;36;4;1;110;4;5;0;0;0;1;18;1;6;4;32;26;0;63;23;0;1
538094;Brandýs nad Labem-Stará Boleslav;13374;8625;8580;2311;11;9;3;16;462;275;10;1326;91;66;5;2;8;9;581;20;179;113;676;639;6;1246;488;2;26
538108;Brázdim;533;374;373;111;0;0;0;1;26;8;0;49;4;4;1;0;2;0;23;3;5;4;36;17;0;64;15;0;0
564869;Březí;375;241;241;71;0;0;0;0;6;14;1;37;6;3;0;0;1;0;14;0;6;3;8;29;0;33;8;0;1
538132;Čelákovice;9011;6016;5977;1485;10;3;2;16;337;197;5;1044;41;42;5;4;4;8;326;9;86;82;486;466;0;903;359;1;56
533254;Černé Voděrady;288;195;193;61;0;0;0;0;14;3;0;19;1;2;0;0;0;0;13;0;5;4;21;7;0;28;11;0;4
538141;Čestlice;497;360;360;110;0;0;1;0;9;12;0;58;4;6;0;0;0;2;23;0;7;6;23;31;1;49;17;0;1
565008;Dobročovice;209;148;147;33;1;0;0;0;5;0;0;29;2;1;1;0;0;0;17;0;8;0;16;13;0;14;7;0;0
538167;Dobřejovice;686;520;506;135;1;1;0;1;27;14;0;92;1;5;0;1;0;0;36;0;12;9;33;48;0;69;21;0;0
564885;Doubek;328;236;235;43;0;0;0;0;12;4;0;53;3;0;0;0;1;0;25;1;7;7;13;23;0;32;10;0;1
538191;Dřevčice;560;364;362;90;0;0;0;2;14;8;0;59;16;5;0;0;4;1;24;1;4;3;29;24;0;54;23;0;1
534781;Dřísy;732;471;469;163;0;0;0;1;17;24;1;78;1;0;0;0;0;3;32;0;7;8;44;16;0;50;23;0;1
564915;Herink;346;262;259;63;0;0;0;0;3;10;0;60;1;0;0;0;1;0;21;0;9;6;21;17;0;44;3;0;0
565989;Hlavenec;266;198;197;71;1;0;0;0;7;0;0;30;1;7;1;0;1;0;8;0;2;2;6;20;1;31;8;0;0
538221;Horoušany;934;676;669;157;3;1;0;0;27;18;1;87;3;6;1;0;0;2;44;2;10;10;68;61;0;130;37;0;1
538230;Hovorčovice;1669;1230;1221;305;0;0;1;1;55;33;5;268;6;7;0;1;3;0;96;5;28;14;107;107;0;142;37;0;0
538248;Hrusice;601;375;374;86;1;0;0;0;10;19;0;60;3;8;0;2;0;1;43;1;5;5;27;24;0;63;16;0;0
538256;Husinec;1054;769;762;157;1;2;0;0;29;41;1;119;17;3;1;0;1;0;57;2;12;10;37;96;0;144;32;0;0
538264;Jenštejn;665;479;475;78;1;0;0;0;24;22;0;91;3;2;0;0;0;0;46;0;8;16;43;47;0;75;19;0;0
533378;Jevany;577;410;405;90;0;1;0;0;26;8;0;85;2;4;0;0;0;1;30;3;6;3;15;47;0;52;27;0;5
538272;Jirny;1918;1390;1383;272;0;0;0;2;56;47;2;272;11;11;3;1;1;2;103;6;23;22;124;131;1;219;71;0;3
538281;Kaliště;219;145;144;48;0;1;0;0;4;2;0;20;1;0;0;0;0;0;10;0;3;3;16;9;0;20;7;0;0
538299;Kamenice;3334;2271;2254;521;0;2;1;1;96;73;2;411;19;15;1;5;2;3;184;4;46;50;168;194;2;346;103;0;5
564974;Káraný;604;405;400;123;0;0;0;0;13;6;0;85;1;5;0;1;0;0;15;1;4;6;32;29;0;62;17;0;0
